id,iranian_word,afghan_word
1192,کارآموز,استاژ
1193,دانشجو,محصل
1194,ساختمان,تعمیر
1195,مهر کردن,تاپه کردن
1196,فنی,تخنیکی
1197,طرح,پلان
1198,برنامه,پروگرام
1199,حقوق,معاش
1200,گپ,حرف
1201,دارایی,مالیه
1202,روابط عمومی,ارتباط عامه
1203,اسید,تیزاب
1204,اسکناس,بانکنوت
1205,آموزش و پرورش,معارف
1206,آزمایشگاه,لابراتوار
1207,تمیز,ستره
1208,جیوه,سیماب
1209,حراج,لیلام
1210,حسابداری,محاسبه
1211,زندان,محبس
1212,شناسنامه,تذکره
1213,شیمی آلی,کیمیای عضوی
1214,فرهنگستان,آکادمی
1215,کبد,جگر
1216,کشاورزی,زراعت
1217,گزارش,راپور
1218,مبصر,کفتان
1219,ممیز,اعشاریه
1220,وام,قرضه
1221,وزارت بازرگانی,وزارت تجارت
1222,حق الزحمه,فیس
1223,فرم,فرمه
1224,غایب,غیر حاضر
1225,شوفاژ,مرکز گرمی
1226,سمج,شله
1227,سفره,دسترخوان
1228,سفارشی,فرمایشی
1229,جستجو کردن,پرس و پال
1230,تورم,پندیدگی
1231,رشته سیم,تار
1232,نمایشی,تمثیلی
1233,دست انداز,جمپ
1234,توافق کردن,جور آمدن
1235,ناراحت شدن,خفه شدن
1236,دبیرخانه,دارالانشا
1237,بوسیله,ذریعه
1238,سرگیجه,سرچرخی
1239,میمون,شادی
1240,تکان,شور
1241,رسوم,عنعنات
1242,مزرعه,فارم
1243,بزرگ,کته
1244,کلیه,گرده
1245,لیوان,گیلاس
1246,دایی,ماما
1247,جلسه,محفل
1248,زنان,نسوان
1249,نگرانی,وارخطایی
1250,آگهی,اعلانات
1251,آجر,خشت
1252,آبگوشت,شوربا
1253,آماده,تیار
1254,ارتش,اردو
1255,استاندار,والی
1256,انبار,گدام
1257,انتصاب,تقرر
1258,بازنشسته,متقاعد
1259,پاک کن,پنسل پاک
1260,پایان نامه,مونوگراف
1261,پریز,ساکت
1262,پیشکار,خانه سامان
1263,پنهان,پت
1264,تزریقات,پیچ کاری
1265,تقویم,جنتری
1266,جفت,جوره
1267,چکمه,موزه
1268,حومه,اطراف
1269,حنا,خینه
1270,دادگستری,عدلیه
1271,داروسازی,فارمسی
1272,دانشجو,محصل
1273,دستبند,چوری
1274,رهن,گرو 
1275,سوراخ,غار
1276,سیگار,سگرت
1277,شکر,بوره 
1278,شلوار,ازار
1279,عمل جراحی,عملیات
1280,فرغون,کراچی دستی
1281,فشنگ,کارتوس
1282,فلفل,مرچ
1283,قوری,چاینک
1284,گلوله,مرمی
1285,لثه,بیره
1286,لوازم یدکی,پرزه
1287,منها ,تفریق
1288,میدان,چوک
1289,نرده,کتاره
1290,رشته ,دپارتمنت
1291,کشوری,ملکی
1292,کاج,ناجو
1293,قارچ,سمارق
1294,صاعقه,الماسک
1295,سند ماشین,جواز سیر
1296,سرباز,عسکر
1297,ریه,شش
1298,بازرسی,تفتیش
1299,آشغال,کثافات
1300,آتش سوزی,حریق
